key,context,English(en),French(fr),German(de),Italian(it),Spanish(es),Portuguese(pt),Russian(ru),Chinese (Simplified)(zh),Korean(ko),Japanese(ja),Hindi(hi),Tamil (India)(ta-IN),Telugu (India)(te-IN),Dutch(nl)
FEATURES,Reason,Look for more textures or details in the area.,Recherchez plus de textures ou de détails dans la zone.,Schauen Sie sich nach mehr Strukturen oder Details um.,Cerca più pattern o dettagli nell'area in cui ti trovi.,Busca más detalles o texturas en el área.,Procure por mais texturas ou detalhes na área.,Попробуйте найти место с большим количеством визуальных деталей.,请扫描环境中更多细节,텍스쳐나 정보가 부족합니다. 다른 곳을 바라보세요.,環境内のテクスチャやディテールを探してください。,कृपया अपने इर्दगिर्द अलग अलग आकार तथा रचनाएं ढूंढ़ने का प्रयास करें.,இப்பகுதியில் கொஞ்சம் பாங்குகள் அல்லது விவரங்களைத் தேடுங்கள்,మీరున్న చోట వైవిధ్యమైన వస్తువుల కోసమో వివరాల కోసమో చూడండి.,Zoek naar meer textuur en details in de omgeving.
INIT,Reason,Initializing augmented reality.,Initialisation de la réalité augmentée.,Initialisiere Erweiterte Realität (AR),Inizializzando la realtà aumentata.,Inicializando AR.,Iniciando realidade aumentada.,Инициализация дополненной реальности.,正在初始化 AR,증강 현실을 초기화중입니다.,拡張現実を初期化しています。,AR की शुरुआत हो रही है.,AR தொடங்குகிறது,ఆగ్మెంటెడ్ రియాలిటీ (ఏ‌ఆర్) మొదలు కానున్నది.,Initialiseren van Augmented Reality 
LIGHT,Reason,It’s too dark. Try going to a more well lit area.,C'est trop sombre. Essayez d'aller dans un endroit mieux éclairé.,Es ist zu dunkel hier. Versuchen Sie es in einem helleren Bereich.,È troppo buio. Prova a spostarti in un'area più illuminata.,Hay muy poca luz. Intenta moverte a un lugar mejor iluminado.,Está muito escuro. Tente ir a um local mais claro.,Слишком темно. Попробуйте найти более освещенное место.,当前环境比较暗，请到光线充足的区域,너무 어둡습니다. 밝은 영역에서 시도해보세요.,暗すぎます。より明るい場所に移動してください。,थोड़ा अंधेरा है। कृपया किसी प्रकाशित स्थान पर जाएं.,இங்கே இருட்டாக இருக்கிறது. வெளிச்சம் உள்ள இடத்திற்குச் செல்லுங்கள்,ఇక్కడ వెలుతురు తక్కువగా వుంది. చక్కని వెలుతురు ప్రసరించే ప్రదేశానికై చూడండి.,Het is te donker. Ga naar een beter verlichte omgeving.
MOTION,Reason,Try moving at a slower pace.,Essayez de vous déplacer plus lentement.,Versuchen Sie sich etwas langsamer zu bewegen.,Prova a muoverti più lentamente.,Intenta moverte más despacio.,Tente se mover mais devagar.,Попробуйте двигаться медленнее.,请以较慢速度移动,천천히 움직여보세요.,もっとゆっくり動かしてください。,कृपया अपनी गती धीमी करें.,மெதுவாக நகர முயற்சிக்கவும்,నెమ్మదిగా కదలడానికి ప్రయత్నించండి.,Probeer langzamer te bewegen.
NONE,Reason,Wait for tracking to begin.,Attendez que le suivi commence.,"Warten Sie, bis die Verortung beginnt.",In attesa che inizi il tracking.,Esperando a que inicie el rastreo.,Esperando o tracking iniciar.,Дождитесь начала трекинга.,追踪中，请等待,추적을 시작하기위해 기다립니다.,トラッキングが起動するまでお待ちください。,ट्रैकिंग शुरू होने तक प्रतीक्षा करें.,கண்காணிப்பு தொடங்க காத்திருக்கவும்,ట్రాకింగ్ ప్రారంభం కోసం వేచి ఉండండి.,Wacht to het tracking begint.
UNSUPPORTED,Reason,AR content is not supported.,Le contenu RA n'est pas pris en charge.,Dieser AR Inhalt wird nicht unterstützt.,I contenuti AR non sono supportati.,Contenido AR no soportado.,Sem suporte para conteúdo em AR.,Дополненная реальность не поддерживается.,不支持 AR 内容,AR 컨텐츠가 지원되지 않습니다.,ARコンテンツ未対応です。,AR उपयोग के लिए पर्याप्त सुविधाएं नहीं है.,AR அம்சம் ஆதரிக்கப்படவில்லை,మీ డివైస్ ఏ‌ఆర్ టెక్నాలజీని సపోర్ట్ చెయ్యదు.,AR-inhoud is niet ondersteund.
FIND_BODY,Instruction,Find a Body to Track,Trouvez un corps à suivre,Finde einen Körper zum Folgen,Trova un Corpo da Tracciare,Encuentra un Cuerpo para Rastrear,Encontre um corpo para rastrear.,Наведите на человека для начала трекинга,查找要追踪的身体,추적할 신체를 찾습니다.,トラックする身体を探します。,ट्रैक करने के लिए किसी के शरीर की ओर देखें., கண்காணிக்க ஒரு உடலைக் கண்டுபிடிக்கவும்,ట్రాక్ చెయ్యడానికి ఎవరైనా వ్యక్తిని ఎంచుకోండి.,Zoek een lichaam om te volgen.
FIND_FACE,Instruction,Find a Face to Track,"Trouvez un visage à suivre",Finde ein Gesicht zum Folgen,Trova una Faccia da Tracciare,Encuentra un Rostro para Rastrear,Encontre uma face para rastrear.,Наведите на лицо для начала трекинга,查找要追踪的面部,추적할 얼굴을 찾습니다.,トラックする顔を探します。,ट्रैक करने के लिए किसी के चेहरे की ओर देखें.,கண்காணிக்க ஒரு முகத்தைக் கண்டறியவும்,ట్రాక్ చెయ్యడానికి ఎవరిదయినా ముఖాన్ని ఎంచుకోండి.,Zoek een gezicht om te volgen.
FIND_IMAGE,Instruction,Find an Image to Track,Trouvez une image à suivre,Finde ein Bild zum Folgen,Trova un'Immagine da Tracciare,Encuentra una Imagen para Rastrear,Encontre uma imagem para rastrear.,Наведите на изображение для начала трекинга,查找要追踪的图像,추적할 이미지를 찾습니다.,トラックする画像を探します。,ट्रैक करने के लिए किसी चित्र की ओर देखें.,கண்காணிக்க ஒரு படத்தைக் கண்டறியவும்,ట్రాక్ చెయ్యడానికి ఏదైనా చిత్రాన్ని ఎంచుకోండి.,Zoek een afbeelding om te volgen.
FIND_OBJECT,Instruction,Find an Object to Track,Trouvez un objet à suivre,Finde ein Objekt zum Folgen,Trova un Oggetto da Tracciare,Encuentra un Objeto para Rastrear,Encontre um objeto para rastrear.,Наведите на объект для начала трекинга,查找要追踪的对象,추적할 오브젝트를 찾습니다.,トラックする物体を探します。,ट्रैक करने के लिए किसी वस्तु की ओर देखें.,கண்காணிக்க ஒரு பொருளைக் கண்டுபிடிக்கவும்,ట్రాక్ చెయ్యడానికి ఏదైనా వస్తువుని ఎంచుకోండి.,Zoek een object om te volgen
